Titre,Note,Prix,Moniteur_Taille_ecran_(pouces),Moniteur_Equivalence_(cm),Moniteur_Resolution_ecran_(pixels),Logiciels_Systeme_exploitation,Logiciels_Version_(Bits),Processeur_Reference,Memoire_vive_Capacite_totale_(Go),Memoire_vive_Type,Stockage_Capacite_disque_dur_(Go),Stockage_Port_disque_dur,Stockage_Vitesse_rotation(tours/min),Stockage_Capacite_SSD_(Go),Stockage_Port_SSD,Dimensions_l_x_h_x_p_(cm),Dimensions_Poids_(g),Carte_video
Ordinateur Apple Macbook CTO 12 Gris Sid. 512Go i7 1.4GHZ,5.0,1979.0,12.0,30.7,2304 x 1440,macOS High Sierra,64.0,"Intel Core i7 bicur à 1,4 GHz",8.0,LPDDR3,,,,512.0,PCI Express,28.05 x 1.31 x 19.65,920.0,
Ordinateur Apple Macbook CTO 12 Gris Sid. i7 1.4GHZ 8go 512SSD,5.0,1979.0,12.1,30.7,2304 x 1440,macOS High Sierra,,"Intel Core i7 bicur à 1,4 GHz",8.0,LPDDR3 SDRAM,,,,512.0,,28.05 x 0.35 x 19.65,920.0,
Ordinateur Apple Macbook CTO Pro 13' i7 2.5ghz 16go 256Go Gris Si,,2349.0,13.3,33.8,2560 x 1600,macOS High Sierra,64.0,Intel Core i7,16.0,LPDDR3,,,,256.0,,30.41 x 1.49 x 21.24,1400.0,
PC Gamer Acer Aspire A715-72G-77BZ,2.0,1299.99,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,8.0,DDR4,1000.0,,5400.0,256.0,M.2 SATA,,,NVIDIA GeForce GTX1050 TI avec 4 Go GDDR5
PC Gamer Acer Aspire A715-72G-76F5,4.0,1199.99,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,8.0,DDR4,1000.0,,5400.0,128.0,M.2 SATA,38.1 x 2.39 x 26.2,2400.0,NVIDIA GeForce GTX1050 avec 4 Go DDR5
Ordinateur portable Asus Vivobook S712FA-AU168T,,1099.0,17.3,43.9,1920 x 1080,Windows 10,64.0,Intel Core i7-8565U,8.0,DDR4,1000.0,S-ATA,5400.0,256.0,SATA,2.1 x 40.6 x 25.3,2300.0,
PC Hybride Microsoft Surface Pro 6 i7 16 512 Noir,5.0,2069.0,12.3,31.2,2736 x 1824,Windows 10,64.0,Intel Core i7-8650U,16.0,LPDDR3,,,,512.0,,29.2 x 0.8 x 20.1,770.0,
Ordinateur Apple Macbook CTO Pro 13' i7 2.5ghz 16go 512Go argent,5.0,2599.0,13.3,33.8,2560 x 1600,Mac OS Mojave,64.0,"Intel Core i7 bicur à 2,5 GHz",16.0,LPDDR3,,,,512.0,,30.41 x 1.49 x 21.24,1400.0,
Ordinateur portable Lenovo Ideapad S340-14IWL-492,,999.0,14.0,35.6,1920 x 1080,Windows 10,64.0,Intel Core i7 8565U,8.0,DDR4,,,,512.0,,23.05 x 32.27 x 1.79,1700.0,
Ordinateur portable Lenovo Ideapad 530s-15IKB-454,,999.0,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8550U,8.0,DDR4,,,,256.0,,24.49 x 35.8 x 1.68,2000.0,
Ordinateur portable Lenovo Ideapad 330-17IKBR-537,,999.0,17.3,43.9,1600 x 900,Windows 10,64.0,Intel Core i7-8550U,8.0,DDR4,1000.0,,,256.0,,29.3 x 41.8 x 2.5,2800.0,AMD Radeon 530 avec 4 Go
PC Gamer Acer Predator Triton 500 PT515-51-78GK,,2199.0,15.6,39.6,1920 x 1080,Windows 10 Famille,64.0,Intel Core i7-8750H,16.0,DDR4,,,,256.0,,1.79 x 35.8 x 25.5,2100.0,NVIDIA GeForce RTX2060 avec 6 Go
Ordinateur portable Acer Swift SF714-52T-733G,,1999.0,14.0,35.6,1920 x 1080,Windows 10 Pro,64.0,Intel Core i7-8500Y,8.0,DDR3,,,,512.0,,0.99 x 31.79 x 19.15,890.0,
